Emitten;Company
AGRO;PT Bank Rakyat Indonesia Agroniaga Tbk
BBCA;PT Bank Central Asia Tbk
BBHI;PT Bank Harda Internasional Tbk
BBKP;Bank Bukopin Tbk
BBMD;PT Bank Mestika Dharma Tbk
BBNI;PT Bank Negara Indonesia (Persero) Tbk
BBRI;PT Bank Rakyat Indonesia (Persero) Tbk
BBSI;PT Bank Bisnis Internasional Tbk
BBTN;PT Bank Tabungan Negara (Persero) Tbk
BBYB;PT Bank Neo Commerce Tbk
BCIC;PT Bank JTrust Indonesia Tbk
BEKS;PT Bank Pembangunan Daerah Banten Tbk
BJBR;Bank Pembangunan Daerah Jawa Barat dan Banten Tbk
BJTM;Bank Pembangunan Daerah Jawa Timur Tbk
BKSW;PT Bank QNB Indonesia Tbk
BMRI;PT Bank Mandiri (Persero) Tbk
BNBA;Bank Bumi Arta Tbk
BNGA;PT Bank CIMB Niaga Tbk
BNII;PT Bank Maybank Indonesia Tbk
BNLI;Bank Permata Tbk
